,Training_loss,Training_f1,Validation_loss,Validation_f1
8-channels,"[0.004809499579477994, 0.0026064790320182458, 0.0020168143960303648, 0.001660784916294442, 0.0013928749505716157, 0.001212016094897202, 0.0010636654537625786, 0.0009452219956832432, 0.0008411034236697, 0.0007736800094386046]","[0.8038804024196009, 0.8753011956318298, 0.901801058679448, 0.9188664534717427, 0.930846885193464, 0.9395430816632578, 0.9460099910425495, 0.9512442637943516, 0.9558957389441106, 0.9591948421588011]","[0.0032188526535611734, 0.0024052676853792473, 0.002162471198895565, 0.0018809706010037466, 0.0017444025293608745, 0.0018232151061498014, 0.0016479191998093818, 0.0016877042583921245, 0.0016475839933148707, 0.0016795991272813373]","[0.8466917926814558, 0.8874231077899175, 0.909832343183371, 0.9211087258426681, 0.9261003219362315, 0.9254518695548433, 0.935926761271367, 0.937205645341919, 0.940171436854141, 0.9400791491319906]"
9-channels,"[0.005062320781139395, 0.002583348406327995, 0.001991049479844926, 0.0016198327892291327, 0.0013721005373673468, 0.0011845927564610788, 0.0010396965571595434, 0.0009338762488051912, 0.0008336059580957779, 0.0007552607739911498]","[0.8006127966155197, 0.8781629620267886, 0.9053772849758176, 0.9225689294039819, 0.9337784225373066, 0.9420467843872224, 0.9483957604463135, 0.9532854135863614, 0.9574885985430549, 0.9609301635383689]","[0.0028566582902813816, 0.0025095831384368515, 0.0020620838838213817, 0.0018766589900092532, 0.0018073699079535074, 0.0019097320886969271, 0.0017046908263175467, 0.0017811767954141573, 0.0016720834703702935, 0.0016758601705781273]","[0.8546807995555007, 0.8870909076753424, 0.9104478544797532, 0.918939410802679, 0.9252740249517767, 0.9309100797214763, 0.9368434475148844, 0.9366252723215703, 0.9382751850210861, 0.9420696191893121]"
17-channels,"[0.0055695034352335505, 0.0025881515919031913, 0.001977289482012313, 0.0016444119365010483, 0.0013850275838906828, 0.001194480464257237, 0.0010526716563725876, 0.0009391014427717382, 0.0008523089295261431, 0.0007678389174165046]","[0.8082104834636579, 0.8822712293893966, 0.9084173765568868, 0.9231152697925534, 0.9340797944911085, 0.9422456937427732, 0.9485303937247013, 0.953402019309461, 0.9573140389812166, 0.9606536728580448]","[0.0034567098987613554, 0.002293270267280032, 0.0021583905589231686, 0.0018568636104779564, 0.001671492241573355, 0.00163242971888118, 0.0016283150399823607, 0.0016780804816481924, 0.0016189282472788156, 0.0016744210833560496]","[0.8349775214298645, 0.8959517275016112, 0.9034490527398055, 0.9213700972786087, 0.9263074521357203, 0.9326923810990249, 0.9338028382179179, 0.9342228467533104, 0.9415026405187025, 0.9434602359487948]"
8-channels w/o unpaired,"[0.0031303577954274447, 0.0015533491410794583, 0.0011470960514200369, 0.0008998680111938423, 0.0007323571640186629, 0.0006282586727364993, 0.0005324438505317391, 0.0004627837495950826, 0.00040981084009667786, 0.00036320540326721386]","[0.7811311153640504, 0.8704383975833644, 0.9044068820269572, 0.9243330108157836, 0.9374889570918229, 0.9458908921299819, 0.9531792989355095, 0.9587898327154657, 0.9631139460319701, 0.9668655687620367]","[0.0018199655012542768, 0.0015631016674384232, 0.0011440133638753742, 0.0011097716017460131, 0.0010476354487117762, 0.000998890425334675, 0.0009030924719435543, 0.0010122156874437754, 0.0009732882983854904, 0.0009957826941083018]","[0.8508421522225159, 0.882192989244909, 0.9109817171688991, 0.9156168259713475, 0.9242627471736493, 0.9306538788002159, 0.9364728601492959, 0.9309392160556273, 0.9412274725344396, 0.9385769000231586]"
